kanal,id,url,datum,topic_manual,topic2_manual,tone_manual
irna_1313,429114,https://t.me/irna_1313/429114,2026-07-14 10:32:01+00:00,domestic_politics,,neutral
irna_1313,435287,https://t.me/irna_1313/435287,2026-07-30 08:29:01+00:00,domestic_politics,,neutral
irna_1313,419716,https://t.me/irna_1313/419716,2026-06-21 22:10:22+00:00,foreign_affairs,,neutral
irna_1313,398807,https://t.me/irna_1313/398807,2026-04-09 10:42:11+00:00,mourning_commemoration,,neutral
irna_1313,392722,https://t.me/irna_1313/392722,2026-03-04 19:40:50+00:00,resistance_axis,,neutral
jamarannews,531595,https://t.me/jamarannews/531595,2026-06-04 16:58:32+00:00,other,,neutral
jamarannews,507221,https://t.me/jamarannews/507221,2026-02-24 11:41:58+00:00,diplomacy,,neutral
jamarannews,513999,https://t.me/jamarannews/513999,2026-03-20 02:07:04+00:00,foreign_affairs,economy,neutral
jamarannews,515975,https://t.me/jamarannews/515975,2026-03-26 21:37:54+00:00,diplomacy,,neutral
jamarannews,511569,https://t.me/jamarannews/511569,2026-03-10 09:11:34+00:00,military,,neutral
jamarannews,522058,https://t.me/jamarannews/522058,2026-04-15 20:15:04+00:00,foreign_affairs,,neutral
jamarannews,523514,https://t.me/jamarannews/523514,2026-04-22 04:47:09+00:00,economy,,neutral
jamarannews,522334,https://t.me/jamarannews/522334,2026-04-16 18:10:48+00:00,diplomacy,,neutral
jamarannews,538574,https://t.me/jamarannews/538574,2026-07-08 07:35:06+00:00,mourning_commemoration,,neutral
jamarannews,528098,https://t.me/jamarannews/528098,2026-05-16 04:50:02+00:00,resistance_axis,,neutral
jamarannews,533201,https://t.me/jamarannews/533201,2026-06-11 14:27:04+00:00,foreign_affairs,,neutral
jamarannews,532335,https://t.me/jamarannews/532335,2026-06-08 05:42:34+00:00,military,,neutral
jamarannews,514081,https://t.me/jamarannews/514081,2026-03-20 09:48:58+00:00,military,,accusatory
jamarannews,520315,https://t.me/jamarannews/520315,2026-04-08 22:04:57+00:00,ideology_propaganda,domestic_politics,neutral
jamarannews,528028,https://t.me/jamarannews/528028,2026-05-15 13:35:25+00:00,military,,neutral
jamarannews,514167,https://t.me/jamarannews/514167,2026-03-20 16:11:08+00:00,other,,neutral
jamarannews,545230,https://t.me/jamarannews/545230,2026-08-09 14:52:24+00:00,mourning_commemoration,,mournful
jamarannews,521052,https://t.me/jamarannews/521052,2026-04-11 14:08:45+00:00,diplomacy,foreign_affairs,neutral
jamarannews,526132,https://t.me/jamarannews/526132,2026-05-05 11:20:48+00:00,domestic_politics,,threatening
jamarannews,532737,https://t.me/jamarannews/532737,2026-06-09 17:32:55+00:00,military,,neutral
jamarannews,513889,https://t.me/jamarannews/513889,2026-03-19 17:43:14+00:00,military,,neutral
jamarannews,528420,https://t.me/jamarannews/528420,2026-05-17 17:46:12+00:00,other,,neutral
jamarannews,535244,https://t.me/jamarannews/535244,2026-06-22 09:47:45+00:00,diplomacy,,mobilizing
jamarannews,521326,https://t.me/jamarannews/521326,2026-04-12 15:38:02+00:00,resistance_axis,,neutral
jamarannews,539037,https://t.me/jamarannews/539037,2026-07-10 06:46:10+00:00,economy,,neutral
mehrnews,380498,https://t.me/mehrnews/380498,2026-05-20 14:46:58+00:00,domestic_politics,,neutral
mehrnews,373436,https://t.me/mehrnews/373436,2026-04-21 13:05:08+00:00,other,,neutral
mehrnews,394014,https://t.me/mehrnews/394014,2026-07-06 18:44:22+00:00,mourning_commemoration,,neutral
mehrnews,404417,https://t.me/mehrnews/404417,2026-08-13 18:40:38+00:00,other,,neutral
mehrnews,357090,https://t.me/mehrnews/357090,2026-03-08 06:24:54+00:00,diplomacy,military,threatening
mehrnews,354833,https://t.me/mehrnews/354833,2026-03-03 14:59:53+00:00,military,domestic_politics,neutral
mehrnews,375451,https://t.me/mehrnews/375451,2026-04-28 22:07:11+00:00,other,,neutral
mehrnews,378543,https://t.me/mehrnews/378543,2026-05-12 08:36:16+00:00,mourning_commemoration,ideology_propaganda,neutral
mehrnews,357920,https://t.me/mehrnews/357920,2026-03-09 11:31:33+00:00,domestic_politics,,neutral
mehrnews,377170,https://t.me/mehrnews/377170,2026-05-05 13:43:51+00:00,diplomacy,,neutral
mehrnews,383801,https://t.me/mehrnews/383801,2026-06-04 09:26:21+00:00,other,,neutral
mehrnews,383949,https://t.me/mehrnews/383949,2026-06-04 14:13:42+00:00,ideology_propaganda,,neutral
mehrnews,379683,https://t.me/mehrnews/379683,2026-05-17 11:27:27+00:00,other,,neutral
mehrnews,403296,https://t.me/mehrnews/403296,2026-08-09 11:14:31+00:00,domestic_politics,other,neutral
mehrnews,347818,https://t.me/mehrnews/347818,2026-02-06 17:43:24+00:00,ideology_propaganda,,neutral
mehrnews,396942,https://t.me/mehrnews/396942,2026-07-14 22:37:59+00:00,military,,neutral
mehrnews,352988,https://t.me/mehrnews/352988,2026-02-28 16:05:44+00:00,military,,triumphant
mehrnews,397436,https://t.me/mehrnews/397436,2026-07-17 04:45:32+00:00,foreign_affairs,,neutral
mehrnews,362508,https://t.me/mehrnews/362508,2026-03-20 20:25:17+00:00,resistance_axis,,neutral
mehrnews,351503,https://t.me/mehrnews/351503,2026-02-22 21:16:10+00:00,resistance_axis,,accusatory
mehrnews,366305,https://t.me/mehrnews/366305,2026-03-31 09:40:10+00:00,domestic_politics,,accusatory
mehrnews,363447,https://t.me/mehrnews/363447,2026-03-23 10:56:38+00:00,military,,neutral
mehrnews,375792,https://t.me/mehrnews/375792,2026-04-29 17:39:43+00:00,ideology_propaganda,domestic_politics,neutral
mehrnews,398473,https://t.me/mehrnews/398473,2026-07-20 18:04:23+00:00,military,,neutral
mehrnews,393172,https://t.me/mehrnews/393172,2026-07-05 06:50:09+00:00,ideology_propaganda,mourning_commemoration,triumphant
