model,kanal,id,url,topic_manual,topic2_manual,topic_ai,tone_manual,tone_ai,reason_ai,seconds
gemma4:26b,farsna,449806,https://t.me/farsna/449806,economy,foreign_affairs,foreign_affairs,accusatory,neutral,The post reports on statements from the Brazilian President regarding the economic impact of the war and Trump's comments on the Strait of Hormuz.,4.7
gemma4:26b,farsna,408369,https://t.me/farsna/408369,domestic_politics,,domestic_politics,neutral,neutral,The post reports on the judicial deadline and the uncertain status of Babak Zanjani's multi-billion dollar debt to the state.,4.3
gemma4:26b,farsna,431084,https://t.me/farsna/431084,ideology_propaganda,,ideology_propaganda,triumphant,triumphant,The post uses celebratory language ('victorious nation') and refers to the late Supreme Leader and Qasem Soleimani to frame a narrative of victory.,4.8
gemma4:26b,farsna,448815,https://t.me/farsna/448815,other,,other,neutral,neutral,The text consists of poetic verses that do not contain a clear news statement or specific information to classify.,4.6
gemma4:26b,farsna,430121,https://t.me/farsna/430121,foreign_affairs,,foreign_affairs,neutral,neutral,"The post reports on a shooting incident in the USA, which is an event inside another country where Iran is not involved.",4.9
gemma4:26b,farsna,421766,https://t.me/farsna/421766,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post reports on a funeral procession for two martyrs in Marand.,2.4
gemma4:26b,farsna,447376,https://t.me/farsna/447376,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post provides information regarding the route for the funeral procession of the late Supreme Leader Ali Khamenei.,3.4
gemma4:26b,farsna,443069,https://t.me/farsna/443069,foreign_affairs,,foreign_affairs,neutral,neutral,The post reports on statements made by the US Vice President regarding the origin of Israel's weapons and the reality of its situation.,4.3
gemma4:26b,farsna,440606,https://t.me/farsna/440606,military,,military,neutral,neutral,The post reports on a statement from the Israeli domestic front command regarding safety instructions for citizens.,3.7
gemma4:26b,farsna,452509,https://t.me/farsna/452509,domestic_politics,,other,neutral,neutral,The post reports on the operational status of border gates at Shalamcheh to accommodate Arbaeen pilgrims.,4.8
gemma4:26b,farsna,414654,https://t.me/farsna/414654,foreign_affairs,military,military,accusatory,accusatory,The post reports on the arrest of Mossad agents in Gulf states and claims Israel is attempting to strike multiple regional countries.,3.9
gemma4:26b,farsna,412101,https://t.me/farsna/412101,domestic_politics,,domestic_politics,accusatory,accusatory,The post reports on the arrest of three individuals and labels them as active members of a 'monarchist terrorist movement'.,6.4
gemma4:26b,farsna,426266,https://t.me/farsna/426266,military,,military,neutral,neutral,The post reports on a news item from AP regarding a US jet being shot down in the Middle East.,3.8
gemma4:26b,farsna,442395,https://t.me/farsna/442395,military,resistance_axis,resistance_axis,threatening,triumphant,The post features a military commander making a statement about the strategic control and potential activation of resistance forces in the Bab al-Mandab strait.,4.8
gemma4:26b,farsna,454547,https://t.me/farsna/454547,foreign_affairs,,foreign_affairs,neutral,neutral,"The post reports on Russian missile attacks in Kyiv, Ukraine, which is an event between other countries where Iran is not involved.",3.7
gemma4:26b,farsna,432280,https://t.me/farsna/432280,economy,,economy,neutral,neutral,The post reports on the economic impact of the war (specifically US pension fund losses) caused by attacks on Iran.,4.2
gemma4:26b,farsna,416887,https://t.me/farsna/416887,military,diplomacy,foreign_affairs,accusatory,neutral,The post reports on US President Trump's statements regarding an attack on an Iranian desalination plant and his insulting remarks about Iranians.,5.3
gemma4:26b,farsna,428494,https://t.me/farsna/428494,military,foreign_affairs,foreign_affairs,accusatory,neutral,"The post quotes an American analyst discussing the closure of the Strait of Hormuz and the resilience of Iranians, while criticizing US-Israeli control.",6.0
gemma4:26b,farsna,458129,https://t.me/farsna/458129,economy,,economy,neutral,neutral,"The post reports on the decrease in US strategic oil reserves, which is a market/commodity development.",5.9
gemma4:26b,farsna,424058,https://t.me/farsna/424058,domestic_politics,,domestic_politics,neutral,neutral,The post reports on a government decision by the Ministry of Sports regarding the travel of a football team due to security concerns in a specific country.,5.1
gemma4:26b,iribnews,356242,https://t.me/iribnews/356242,domestic_politics,economy,domestic_politics,neutral,neutral,The post reports on the Acting Minister of Defense's statements regarding the import and clearance of explosives for the country's mines.,4.4
gemma4:26b,iribnews,318585,https://t.me/iribnews/318585,military,,military,neutral,neutral,The post reports on the number of missiles and drones launched by Iran and the scale of US military involvement in the war.,3.8
gemma4:26b,iribnews,329247,https://t.me/iribnews/329247,military,,military,triumphant,triumphant,"The post reports on the downing of a US fighter jet by Iranian air defenses, which is a military event in the ongoing war.",4.6
gemma4:26b,iribnews,339084,https://t.me/iribnews/339084,diplomacy,,diplomacy,neutral,neutral,The post reports on the Foreign Minister's statements regarding the sovereignty and management of the Strait of Hormuz and ongoing negotiations.,4.2
gemma4:26b,iribnews,320271,https://t.me/iribnews/320271,domestic_politics,,other,neutral,neutral,The post provides public health advice and warnings regarding acid rain caused by fuel tank explosions.,5.2
gemma4:26b,iribnews,353675,https://t.me/iribnews/353675,economy,diplomacy,economy,threatening,neutral,The post reports on US President Trump's statement regarding revenue from Venezuelan oil and his plans for Iranian oil.,5.0
gemma4:26b,iribnews,313750,https://t.me/iribnews/313750,domestic_politics,,other,neutral,neutral,"The post is a factual announcement regarding the resumption of airline flight schedules between Tehran, Istanbul, and Najaf.",4.2
gemma4:26b,iribnews,350290,https://t.me/iribnews/350290,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post reports on the funeral procession of the late Supreme Leader Ali Khamenei in Karbala.,2.6
gemma4:26b,iribnews,337487,https://t.me/iribnews/337487,economy,,economy,neutral,neutral,The post reports on the economic impact of the Strait of Hormuz disruptions and the resulting shifts in shipping routes and costs.,4.2
gemma4:26b,iribnews,329525,https://t.me/iribnews/329525,other,economy,other,neutral,neutral,The post reports on tourism statistics and visitor numbers in West Azerbaijan province.,3.6
gemma4:26b,iribnews,344063,https://t.me/iribnews/344063,other,,other,neutral,neutral,The post is a simple announcement about cleaning a religious shrine in preparation for Muharram.,3.2
gemma4:26b,iribnews,329437,https://t.me/iribnews/329437,military,,military,triumphant,triumphant,The post reports on a military operation in Isfahan and uses strong language to celebrate victory and mock the US military.,5.4
gemma4:26b,iribnews,357781,https://t.me/iribnews/357781,economy,,economy,neutral,neutral,"The post reports on the Minister of Industry, Mine and Trade's statement regarding import and export trends.",4.2
gemma4:26b,iribnews,358956,https://t.me/iribnews/358956,foreign_affairs,,foreign_affairs,neutral,neutral,"The post reports on a weapons contract between Greece and Israel, which is an event between other countries where Iran is not involved.",4.8
gemma4:26b,iribnews,347981,https://t.me/iribnews/347981,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post provides logistical information and schedules regarding the funeral ceremonies for the late Supreme Leader Ali Khamenei.,6.1
gemma4:26b,iribnews,315925,https://t.me/iribnews/315925,domestic_politics,,domestic_politics,neutral,neutral,"The post reports on a court sentence (imprisonment) for an individual, which falls under domestic legal/judicial matters.",3.3
gemma4:26b,iribnews,357169,https://t.me/iribnews/357169,other,,other,neutral,neutral,The post is a factual report about an earthquake in Gilan-e Gharb.,3.4
gemma4:26b,iribnews,335302,https://t.me/iribnews/335302,foreign_affairs,,foreign_affairs,neutral,neutral,"The post reports a statement by the British Prime Minister regarding his country's stance on war, which is an event involving another country where Iran is not the acting party.",4.6
gemma4:26b,iribnews,354020,https://t.me/iribnews/354020,domestic_politics,,domestic_politics,neutral,neutral,The post reports on a government official's announcement regarding the digital management of passenger returns during the Arbaeen pilgrimage.,5.2
gemma4:26b,iribnews,353086,https://t.me/iribnews/353086,diplomacy,,diplomacy,threatening,threatening,The post features the Foreign Minister criticizing US officials and explicitly stating that the US President must pay a heavy price if seeking a deal.,4.7
gemma4:26b,iribnews,352073,https://t.me/iribnews/352073,military,,military,neutral,neutral,"The post reports on the activation of warning sirens and instructions to seek shelter in Bahrain, which is a Gulf state involved in the war.",4.0
gemma4:26b,iribnews,327680,https://t.me/iribnews/327680,military,foreign_affairs,military,neutral,accusatory,"The post uses strong language like 'genocide' and 'aggression' to condemn the actions of the US and Israel, which falls under the 'accusatory' tone definition for blaming opponents with explicit negative claims.",8.2
gemma4:26b,iribnews,333345,https://t.me/iribnews/333345,diplomacy,military,military,triumphant,triumphant,The post reports on an analyst's claim that the US has failed in its war objectives and is internationally isolated.,5.0
gemma4:26b,iribnews,349202,https://t.me/iribnews/349202,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post reports on people visiting the body of the late Supreme Leader Ali Khamenei for a funeral/mourning ceremony.,3.7
gemma4:26b,iribnews,329787,https://t.me/iribnews/329787,diplomacy,,diplomacy,neutral,neutral,The post reports on Iran's official diplomatic protest to the IAEA regarding an attack on the Bushehr nuclear plant.,6.7
gemma4:26b,irna_1313,390281,https://t.me/irna_1313/390281,other,,other,neutral,neutral,The post is a factual weather forecast provided by the meteorological organization.,4.2
gemma4:26b,irna_1313,418067,https://t.me/irna_1313/418067,economy,,economy,neutral,neutral,"The post reports on the growth of the Tehran Stock Exchange index, which is a market development.",3.4
gemma4:26b,irna_1313,420907,https://t.me/irna_1313/420907,other,,other,neutral,neutral,"The post provides prayer times and a religious quote, which does not fall into any specific news category.",4.1
gemma4:26b,irna_1313,389625,https://t.me/irna_1313/389625,domestic_politics,,domestic_politics,neutral,neutral,The post reports on a speech by the Vice President regarding family stability and social policies within Iran.,5.9
gemma4:26b,irna_1313,446034,https://t.me/irna_1313/446034,foreign_affairs,,foreign_affairs,neutral,neutral,The post reports on tensions and naval movements between Turkey and Israel in the Mediterranean.,4.9
gemma4:26b,irna_1313,415696,https://t.me/irna_1313/415696,other,,other,neutral,neutral,The post is a factual report about football fans entering a stadium for the 2026 World Cup.,3.5
gemma4:26b,irna_1313,389097,https://t.me/irna_1313/389097,ideology_propaganda,,ideology_propaganda,neutral,neutral,The post reports on people gathering in Tehran to celebrate the anniversary of the Islamic Revolution and discussing national unity.,4.3
gemma4:26b,irna_1313,405007,https://t.me/irna_1313/405007,other,,domestic_politics,neutral,neutral,"The post is a feature article about the Red Crescent Society and its role in crisis management, which falls under public services.",5.9
gemma4:26b,irna_1313,443511,https://t.me/irna_1313/443511,domestic_politics,,domestic_politics,neutral,neutral,The post reports on President Pezeshkian's instruction to government officials to reduce fuel consumption and the use of government vehicles.,4.0
gemma4:26b,irna_1313,443117,https://t.me/irna_1313/443117,domestic_politics,diplomacy,domestic_politics,mobilizing,neutral,"The post features Mohsen Rezaei calling for unity and supporting officials, while discussing regional politics and US withdrawal.",5.0
gemma4:26b,irna_1313,386139,https://t.me/irna_1313/386139,economy,,economy,neutral,neutral,"The post reports on the decrease in exchange rates for major currencies like the US dollar, Euro, and UAE Dirham.",5.7
gemma4:26b,irna_1313,421393,https://t.me/irna_1313/421393,other,,other,neutral,neutral,"The post provides prayer times and a religious quote, which does not fall into any specific news category.",4.1
gemma4:26b,irna_1313,404884,https://t.me/irna_1313/404884,other,,other,neutral,neutral,The post reports on the successful capture and release of a wild cat into a national park.,3.8
gemma4:26b,irna_1313,428159,https://t.me/irna_1313/428159,military,,military,neutral,neutral,The post reports on enemy projectile strikes hitting four areas in Bushehr province during the ongoing war.,5.9
gemma4:26b,irna_1313,406101,https://t.me/irna_1313/406101,other,,other,neutral,neutral,The post is a health-related article discussing the difference between sadness and depression.,4.0
gemma4:26b,irna_1313,439115,https://t.me/irna_1313/439115,domestic_politics,,domestic_politics,neutral,neutral,The post discusses government-provided healthcare services and subsidies for children and low-income families.,4.2
gemma4:26b,irna_1313,426137,https://t.me/irna_1313/426137,mourning_commemoration,ideology_propaganda,mourning_commemoration,neutral,neutral,The post focuses on recounting memories and stories about the late Supreme Leader Ali Khamenei during commemoration ceremonies.,4.4
gemma4:26b,irna_1313,412493,https://t.me/irna_1313/412493,resistance_axis,,resistance_axis,neutral,neutral,The post reports on a statement from a Hamas official regarding the failure of international efforts to stop killings in Gaza.,4.4
gemma4:26b,irna_1313,418220,https://t.me/irna_1313/418220,economy,diplomacy,diplomacy,neutral,neutral,The post reports on the Central Bank Governor's official visit to Moscow and his statements regarding strengthening economic and trade relations with Russia.,5.9
gemma4:26b,irna_1313,403042,https://t.me/irna_1313/403042,domestic_politics,,domestic_politics,neutral,neutral,The post reports on a meeting between the Minister of Culture and a veteran of the Shajareh Tayyebeh school attack.,3.3
gemma4:26b,irna_1313,429114,https://t.me/irna_1313/429114,domestic_politics,,domestic_politics,neutral,neutral,The post reports on the arrest of individuals by prosecutors for distributing private images of people in Lorestan.,5.1
gemma4:26b,irna_1313,435287,https://t.me/irna_1313/435287,domestic_politics,,other,neutral,neutral,The post is a factual announcement regarding a special flight for the Arbaeen pilgrimage.,4.0
gemma4:26b,irna_1313,419716,https://t.me/irna_1313/419716,foreign_affairs,,foreign_affairs,neutral,neutral,The post reports on a statement by the German Defense Minister regarding Trump's responsibility for the closure of the Strait of Hormuz.,4.2
gemma4:26b,irna_1313,398807,https://t.me/irna_1313/398807,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post announces the 40th-day commemoration ceremony for the martyrdom of the Supreme Leader.,3.6
gemma4:26b,irna_1313,392722,https://t.me/irna_1313/392722,resistance_axis,,resistance_axis,neutral,neutral,The post reports on clashes between Hezbollah fighters and Israeli forces in Lebanon.,3.9
gemma4:26b,jamarannews,531595,https://t.me/jamarannews/531595,other,,other,neutral,neutral,The post is a factual report about a football match score.,3.1
gemma4:26b,jamarannews,507221,https://t.me/jamarannews/507221,diplomacy,,diplomacy,neutral,neutral,The post is a factual denial of a news report regarding Ali Larijani's travel to Oman.,5.0
gemma4:26b,jamarannews,513999,https://t.me/jamarannews/513999,foreign_affairs,economy,foreign_affairs,neutral,neutral,The post reports on the US Congress's opposition to a Pentagon budget request for the war against Iran.,4.6
gemma4:26b,jamarannews,515975,https://t.me/jamarannews/515975,diplomacy,,diplomacy,neutral,neutral,The post reports on Iran's official diplomatic protest to the UN Security Council regarding the UAE's involvement in attacks against Iran.,5.0
gemma4:26b,jamarannews,511569,https://t.me/jamarannews/511569,military,,military,neutral,neutral,The post reports on the recovery of a child's body from rubble following a US missile strike in Tehran.,3.2
gemma4:26b,jamarannews,522058,https://t.me/jamarannews/522058,foreign_affairs,,foreign_affairs,neutral,neutral,The post discusses a Foreign Policy article about the potential political consequences of a war with Iran for the US Republican coalition.,7.3
gemma4:26b,jamarannews,523514,https://t.me/jamarannews/523514,economy,,economy,neutral,neutral,The post reports on global oil trade shifts and congestion in the Panama Canal due to the closure of the Strait of Hormuz.,4.5
gemma4:26b,jamarannews,522334,https://t.me/jamarannews/522334,diplomacy,,diplomacy,neutral,neutral,The post reports on Donald Trump's claims regarding Iran's willingness to reach a nuclear agreement.,4.1
gemma4:26b,jamarannews,538574,https://t.me/jamarannews/538574,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post provides logistical information regarding the funeral arrangements for the late Supreme Leader Ali Khamenei.,4.8
gemma4:26b,jamarannews,528098,https://t.me/jamarannews/528098,resistance_axis,,resistance_axis,neutral,neutral,"The post reports on casualties from an Israeli airstrike in Gaza, which falls under the resistance_axis topic.",4.4
gemma4:26b,jamarannews,533201,https://t.me/jamarannews/533201,foreign_affairs,,foreign_affairs,neutral,neutral,"The post reports on statements from a US Vice President regarding US-Israel relations and interests, which does not involve Iran as an actor in the content.",5.3
gemma4:26b,jamarannews,532335,https://t.me/jamarannews/532335,military,,military,neutral,neutral,The post reports on the movement of hospital activities underground in Israel due to the ongoing conflict.,3.6
gemma4:26b,jamarannews,514081,https://t.me/jamarannews/514081,military,,military,accusatory,neutral,The post reports on a new round of drone attacks by the Iranian army against Israeli military and infrastructure targets.,6.2
gemma4:26b,jamarannews,520315,https://t.me/jamarannews/520315,ideology_propaganda,domestic_politics,domestic_politics,neutral,neutral,The post reports on a pro-government gathering in support of the military during the war.,4.1
gemma4:26b,jamarannews,528028,https://t.me/jamarannews/528028,military,,military,neutral,triumphant,The post reports on US intelligence assessments regarding Iran's underground missile capabilities and how they challenge US military strategy.,4.9
gemma4:26b,jamarannews,514167,https://t.me/jamarannews/514167,other,,other,neutral,neutral,The post reports on the restoration of access to the Supreme Leader's official website following its unavailability during the war.,5.7
gemma4:26b,jamarannews,545230,https://t.me/jamarannews/545230,mourning_commemoration,,mourning_commemoration,mournful,mournful,The post is a formal message of condolence from the Minister of Culture regarding the death of a spouse of a deceased scholar.,5.9
gemma4:26b,jamarannews,521052,https://t.me/jamarannews/521052,diplomacy,foreign_affairs,foreign_affairs,neutral,neutral,The post reports on a decision by the US Secretary of State regarding the residency status and detention of an individual related to an Iranian figure.,4.8
gemma4:26b,jamarannews,526132,https://t.me/jamarannews/526132,domestic_politics,,domestic_politics,threatening,neutral,The post features statements from the head of the judiciary regarding legal action against exploiters and the need to address economic pressures.,5.1
gemma4:26b,jamarannews,532737,https://t.me/jamarannews/532737,military,,military,neutral,neutral,The post reports on an analysis from the New York Times regarding the military stalemate and the shift in deterrence between Iran and Israel.,4.4
gemma4:26b,jamarannews,513889,https://t.me/jamarannews/513889,military,,military,neutral,neutral,The post reports on the Israeli military censorship following an Iranian missile attack on a refinery in Haifa.,5.3
gemma4:26b,jamarannews,528420,https://t.me/jamarannews/528420,other,,other,neutral,neutral,"The post is a brief news update about an actor being in the hospital, expressing well-wishes.",4.3
gemma4:26b,jamarannews,535244,https://t.me/jamarannews/535244,diplomacy,,diplomacy,mobilizing,neutral,The post reports on President Pezeshkian's statements regarding the nature of recent negotiations and Iran's firm stance.,5.5
gemma4:26b,jamarannews,521326,https://t.me/jamarannews/521326,resistance_axis,,resistance_axis,neutral,neutral,"The post reports on Israeli military difficulties in Lebanon/Hezbollah, which falls under the resistance_axis topic.",4.2
gemma4:26b,jamarannews,539037,https://t.me/jamarannews/539037,economy,,economy,neutral,neutral,The post provides factual information regarding the distribution of electronic food subsidies (kalabarg) and non-cash subsidies.,3.5
gemma4:26b,mehrnews,380498,https://t.me/mehrnews/380498,domestic_politics,,domestic_politics,neutral,neutral,The post reports on the Tehran municipality's progress in processing compensation and reconstruction for damages caused by the war.,6.1
gemma4:26b,mehrnews,373436,https://t.me/mehrnews/373436,other,,other,neutral,neutral,The post reports on a ceremony to honor the poet Saadi Shirazi with flowers.,3.4
gemma4:26b,mehrnews,394014,https://t.me/mehrnews/394014,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post describes the atmosphere in Qom ahead of a funeral ceremony for a deceased person.,3.4
gemma4:26b,mehrnews,404417,https://t.me/mehrnews/404417,other,,other,neutral,neutral,The post is a factual report about crowds of pilgrims on Imam Reza Street.,3.2
gemma4:26b,mehrnews,357090,https://t.me/mehrnews/357090,diplomacy,military,diplomacy,threatening,threatening,The main statement is a political figure's warning/threat regarding the outcome of the war initiated by the US/Israel.,6.2
gemma4:26b,mehrnews,354833,https://t.me/mehrnews/354833,military,domestic_politics,military,neutral,neutral,"The post reports on the attack/violation of medical centers and hospitals, which falls under the military topic due to the context of the war involving Iran.",5.6
gemma4:26b,mehrnews,375451,https://t.me/mehrnews/375451,other,,other,neutral,neutral,"The post reports on a special program celebrating the birth of Imam Reza, which is a religious event.",3.4
gemma4:26b,mehrnews,378543,https://t.me/mehrnews/378543,mourning_commemoration,ideology_propaganda,ideology_propaganda,neutral,neutral,The post tells a story about a pilot martyr and the historical origin of using the Iranian flag as a shroud.,5.3
gemma4:26b,mehrnews,357920,https://t.me/mehrnews/357920,domestic_politics,,other,neutral,neutral,"The post reports on successful births in northern provinces during the first four days of the war, emphasizing life and hope.",2.9
gemma4:26b,mehrnews,377170,https://t.me/mehrnews/377170,diplomacy,,diplomacy,neutral,neutral,The post reports on a scheduled meeting between Iran's Foreign Minister and China's Foreign Minister.,3.4
gemma4:26b,mehrnews,383801,https://t.me/mehrnews/383801,other,,other,neutral,neutral,The post reports on a traffic accident involving two cars and the resulting injuries.,3.2
gemma4:26b,mehrnews,383949,https://t.me/mehrnews/383949,ideology_propaganda,,ideology_propaganda,neutral,neutral,The post reports on a pro-government motorcycle parade called 'Jan-fada' in Mashhad.,3.9
gemma4:26b,mehrnews,379683,https://t.me/mehrnews/379683,other,,other,neutral,neutral,"The post reports on the presentation of a flag to the national football team coach, which is a cultural/sports event.",4.7
gemma4:26b,mehrnews,403296,https://t.me/mehrnews/403296,domestic_politics,other,domestic_politics,neutral,neutral,The post reports on a localized landslide at a metro station in Qom being contained by authorities.,5.7
gemma4:26b,mehrnews,347818,https://t.me/mehrnews/347818,ideology_propaganda,,other,neutral,neutral,The post shares a religious anthem/song and does not contain news or a main statement regarding specific events.,4.4
gemma4:26b,mehrnews,396942,https://t.me/mehrnews/396942,military,,military,neutral,neutral,"The post reports on explosions and fires in Kuwait, which is a Gulf state involved in the ongoing war.",3.5
gemma4:26b,mehrnews,352988,https://t.me/mehrnews/352988,military,,military,triumphant,accusatory,The post reports on sirens in Israel caused by Iranian missile attacks and uses derogatory language to describe a media outlet.,3.9
gemma4:26b,mehrnews,397436,https://t.me/mehrnews/397436,foreign_affairs,,foreign_affairs,neutral,neutral,The post reports on a meeting between the foreign ministers of China and Pakistan regarding an international conference.,3.0
gemma4:26b,mehrnews,362508,https://t.me/mehrnews/362508,resistance_axis,,resistance_axis,neutral,neutral,"The post reports on Hezbollah's missile attack on an Israeli base, which falls under the resistance_axis topic.",3.6
gemma4:26b,mehrnews,351503,https://t.me/mehrnews/351503,resistance_axis,,resistance_axis,accusatory,accusatory,The post reports on statements by the leader of the Houthis (Ansarullah) accusing the USA of being a partner in Zionist crimes.,5.5
gemma4:26b,mehrnews,366305,https://t.me/mehrnews/366305,domestic_politics,,domestic_politics,accusatory,accusatory,The post reports on the arrest of individuals labeled as traitors to the homeland by the IRGC intelligence in Hormozgan.,4.3
gemma4:26b,mehrnews,363447,https://t.me/mehrnews/363447,military,,military,neutral,neutral,"The post reports on a military attack (US-Israeli strike) on residential areas in Tehran, which falls under the military topic due to the war context.",5.9
